challenge,subject,framing_level,judging_level,steering_level,framing_grade,judging_grade,steering_grade,judging_real_flagged,judging_false_flagged,judging_total_real
0,Algorithms > Sorting & Searching,expert,expert,expert,B,A,B,4,0,4
0,Algorithms > Sorting & Searching,expert,expert,novice,B,A,C,4,0,4
0,Algorithms > Sorting & Searching,expert,novice,expert,C,C,C,1,1,4
0,Algorithms > Sorting & Searching,expert,novice,novice,B,C,C,1,1,4
0,Algorithms > Sorting & Searching,novice,expert,expert,C,A,B,4,0,4
0,Algorithms > Sorting & Searching,novice,expert,novice,C,A,C,4,0,4
0,Algorithms > Sorting & Searching,novice,novice,expert,C,C,B,1,1,4
0,Algorithms > Sorting & Searching,novice,novice,novice,C,C,C,1,1,4
1,Microeconomics > Supply & Demand,expert,expert,expert,B,A,B,4,0,4
1,Microeconomics > Supply & Demand,expert,expert,novice,B,A,A,4,0,4
1,Microeconomics > Supply & Demand,expert,novice,expert,B,C,B,1,1,4
1,Microeconomics > Supply & Demand,expert,novice,novice,B,C,B,1,1,4
1,Microeconomics > Supply & Demand,novice,expert,expert,C,A,A,4,0,4
1,Microeconomics > Supply & Demand,novice,expert,novice,C,A,B,4,0,4
1,Microeconomics > Supply & Demand,novice,novice,expert,C,C,B,1,1,4
1,Microeconomics > Supply & Demand,novice,novice,novice,C,C,B,1,1,4
2,ML > Model Evaluation & Overfitting,expert,expert,expert,B,A,B,4,0,4
2,ML > Model Evaluation & Overfitting,expert,expert,novice,B,A,C,4,0,4
2,ML > Model Evaluation & Overfitting,expert,novice,expert,B,C,B,1,1,4
2,ML > Model Evaluation & Overfitting,expert,novice,novice,B,C,C,1,1,4
2,ML > Model Evaluation & Overfitting,novice,expert,expert,C,A,B,4,0,4
2,ML > Model Evaluation & Overfitting,novice,expert,novice,C,A,B,4,0,4
2,ML > Model Evaluation & Overfitting,novice,novice,expert,C,C,A,1,1,4
2,ML > Model Evaluation & Overfitting,novice,novice,novice,C,C,B,1,1,4
3,Databases > Indexing & Query Optimization,expert,expert,expert,C,A,B,4,0,4
3,Databases > Indexing & Query Optimization,expert,expert,novice,C,A,B,4,0,4
3,Databases > Indexing & Query Optimization,expert,novice,expert,C,C,B,1,1,4
3,Databases > Indexing & Query Optimization,expert,novice,novice,B,C,C,1,1,4
3,Databases > Indexing & Query Optimization,novice,expert,expert,C,A,B,4,0,4
3,Databases > Indexing & Query Optimization,novice,expert,novice,C,A,B,4,0,4
3,Databases > Indexing & Query Optimization,novice,novice,expert,C,C,B,1,1,4
3,Databases > Indexing & Query Optimization,novice,novice,novice,C,C,B,1,1,4
4,Statistics > Hypothesis Testing,expert,expert,expert,C,A,A,4,0,4
4,Statistics > Hypothesis Testing,expert,expert,novice,C,A,C,4,0,4
4,Statistics > Hypothesis Testing,expert,novice,expert,C,C,B,1,1,4
4,Statistics > Hypothesis Testing,expert,novice,novice,C,C,B,1,1,4
4,Statistics > Hypothesis Testing,novice,expert,expert,C,A,B,4,0,4
4,Statistics > Hypothesis Testing,novice,expert,novice,C,A,B,4,0,4
4,Statistics > Hypothesis Testing,novice,novice,expert,C,C,B,1,1,4
4,Statistics > Hypothesis Testing,novice,novice,novice,C,C,C,1,1,4
